name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Nissan,4.1,(260 Reviews),Private,"Yokohama-shi,Kanagawa + 59 more",89 years old,10k-50k Employees (India)
Talentpro,4.1,(255 Reviews),Private,"Chennai,Tamil Nadu + 61 more",22 years old,501-1k Employees (India)
Emaar MGF,4,(255 Reviews),Public,"Delhi/NCR,New Delhi + 13 more",17 years old,501-1k Employees (India)
Fidelity Interna...,4.3,(254 Reviews),Private,London + 7 more,53 years old,1k-5k Employees (India)
Sulzer,4,(254 Reviews),Private,"Winterthur,Winterthur + 13 more",188 years old,501-1k Employees (India)
SPML Infra,3.6,(254 Reviews),Public,"Delhi/NCR,Delhi + 35 more",41 years old,501-1k Employees (India)
Greenlam Industr...,4.1,(254 Reviews),Public,"Delhi/NCR,Delhi + 39 more",9 years old,1k-5k Employees (India)
Indofil Industri...,4.4,(254 Reviews),Private,"Mumbai,Maharashtra + 33 more",29 years old,501-1k Employees (India)
Vedang Cellular ...,4.1,(254 Reviews),Mumbai + 43 more,12 years old,501-1k Employees (India),
SAMSUNG C&T,4.1,(254 Reviews),"Suwon-Si,Gyeonggi-Do + 14 more",84 years old,501-1k Employees (India),
HEISCO,4,(253 Reviews),Private,Safat + 18 more,48 years old,201-500 Employees (India)
DigiCall Teleser...,3.6,(253 Reviews),Private,"Johannesburg,Vaud + 13 more",27 years old,501-1k Employees (India)
Diya Systems,3.8,(253 Reviews),Private,"Mangaluru/Mangalore,Karnataka + 5 more",20 years old,1k-5k Employees (India)
Xchanging,3.7,(253 Reviews),Public,London + 10 more,24 years old,201-500 Employees (India)
Flamingo Pharmac...,3.3,(253 Reviews),Public,Mumbai + 5 more,37 years old,501-1k Employees (India)
VGN Projects Est...,4.3,(253 Reviews),Private,"Chennai,Tamil Nadu + 1 more",80 years old,1k-5k Employees (India)
Tribhovandas Bhi...,4.1,(253 Reviews),Public,"Mumbai,Maharashtra + 31 more",158 years old,1k-5k Employees (India)
Pinnacle Infote...,3.3,(253 Reviews),"Houston,Texas + 8 more",30 years old,1k-5k Employees (India),
Tracxn,2.9,(253 Reviews),Private,"Bangalore,Karnataka + 4 more",9 years old,501-1k Employees (India)
Eversendai,3.7,(252 Reviews),Private,"Selangor Darul Ehsan,Selangor Darul Ehsan + 11 more",38 years old,201-500 Employees (India)
Silverlink Techn...,4.4,(252 Reviews),Private,"Mumbai,Maharashtra + 13 more",19 years old,201-500 Employees (India)
DB Schenker,4.3,(252 Reviews),Private,Essen + 23 more,32 years old,501-1k Employees (India)
IDBI Intech,3.9,(252 Reviews),Private,"Navi Mumbai,Maharashtra + 19 more",22 years old,1k-5k Employees (India)
Zee Entertainmen...,3.9,(252 Reviews),Public,Mumbai + 27 more,30 years old,1k-5k Employees (India)
Digit Insurance,4,(252 Reviews),Private,"Bangalore,Karnataka + 37 more",6 years old,1k-5k Employees (India)
Adani Green Ener...,4.2,(252 Reviews),Private,"Ahmedabad,Gujrat + 30 more",7 years old,1k-5k Employees (India)
Lido Learning,2.2,(252 Reviews),"Mumbai,Maharashtra + 16 more",3 years old,201-500 Employees (India),
Guidehouse,4.2,(252 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 7 more",19 years old,501-1k Employees (India)
Chaayos,4,(252 Reviews),Private,"Delhi,NCT + 15 more",10 years old,1k-5k Employees (India)
Rockwell Automat...,3.9,(322 Reviews),Private,"Milwaukee,Wisconsin + 15 more",119 years old,501-1k Employees (India)
V-Xpress,4.3,(251 Reviews),Private,"Chembur,Maharashtra + 55 more",20 years old,501-1k Employees (India)
McCain Foods,4.4,(251 Reviews),Private,Toronto + 41 more,26 years old,501-1k Employees (India)
Delta Electronic...,4.1,(251 Reviews),Private,"Gurgaon/Gurugram,Haryana + 31 more",30 years old,1k-5k Employees (India)
Cuemath,4.3,(251 Reviews),Private,"Bangalore,Karnataka + 17 more",11 years old,501-1k Employees (India)
Grindwell Norton,4.1,(251 Reviews),Public,"Mumbai,Maharashtra + 25 more",81 years old,1k-5k Employees (India)
Bitwise Solution...,4.4,(251 Reviews),Private,"Schaumburg,Chicago",26 years old,501-1k Employees (India)
CRYSTAL CROP PRO...,4.2,(251 Reviews),Public,"Delhi/NCR,New Delhi + 46 more",42 years old,501-1k Employees (India)
Aloha Technology,4,(251 Reviews),Private,"Pune,Maharashtra + 7 more",19 years old,501-1k Employees (India)
MITS GLOBAL CONS...,4.6,(251 Reviews),Mumbai + 7 more,5k-10k Employees (India),,
Blue Yonder,4.3,(251 Reviews),Private,"Scottsdale,Arizona + 8 more",37 years old,1k-5k Employees (India)
Acadecraft,3.3,(250 Reviews),Private,"Noida,Uttar Pradesh + 9 more",11 years old,201-500 Employees (India)
Comviva Technolo...,3.6,(250 Reviews),Private,"Gurgaon,Haryana + 13 more",23 years old,1k-5k Employees (India)
Systra Consultin...,4.2,(250 Reviews),Private,"Faridabad,Haryana + 23 more",65 years old,1k-5k Employees (India)
CAMS,3.9,(250 Reviews),Chennai + 29 more,34 years old,5k-10k Employees (India),
VLCC Personal Ca...,3.5,(250 Reviews),Private,Gurugram + 48 more,33 years old,1k-5k Employees (Global)
Prama Hikvision ...,3.4,(250 Reviews),Private,Hangzhou + 35 more,13 years old,201-500 Employees (India)
Reliance Home Fi...,4.6,(250 Reviews),Public,"Mumbai,Maharashtra + 45 more",14 years old,501-1k Employees (India)
SHARE Microfin,4.2,(250 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 93 more",33 years old,501-1k Employees (India)
Mars Internation...,4.4,(250 Reviews),McLean + 47 more,28 years old,1k-5k Employees (India),
Andritz,3.9,(250 Reviews),Private,"Graz,Steiermark + 10 more",26 years old,1k-5k Employees (India)
RSWM,4.3,(249 Reviews),Public,Noida + 24 more,61 years old,501-1k Employees (India)
Khadims,4,(249 Reviews),Public,"Kolkata,West Bengal + 40 more",57 years old,501-1k Employees (India)
Globant,4.4,(249 Reviews),Private,San Francisco + 3 more,19 years old,501-1k Employees (India)
Legrand,3.8,(444 Reviews),Private,"Limoges,Limoges + 36 more",162 years old,201-500 Employees (India)
The Park Hotels,4.1,(248 Reviews),Private,"Kolkata,West Bengal + 18 more",55 years old,1k-5k Employees (India)
Agrostar,4.4,(248 Reviews),"Pune,Maharashtra + 21 more",14 years old,1k-5k Employees (India),
Reliance Life Sc...,3.5,(248 Reviews),Private,"Mumbai,Maharashtra + 24 more",21 years old,1k-5k Employees (India)
Emerson Network ...,4.1,(248 Reviews),Public,"St. Louis,Missouri + 36 more",132 years old,1k-5k Employees (India)
BLK Super Specia...,4.1,(248 Reviews),Private,"Delhi/NCR,New Delhi + 3 more",63 years old,501-1k Employees (India)
ASG Eye Hospital,3.8,(248 Reviews),Private,Jodhpur + 42 more,17 years old,501-1k Employees (India)
Eurokids,4.3,(247 Reviews),Private,"Mumbai,Maharashtra + 45 more",21 years old,501-1k Employees (India)
Jamna Auto Indus...,3.6,(247 Reviews),Public,"Yamunanagar,Haryana + 25 more",68 years old,1k-5k Employees (India)
Zoho,4.3,(247 Reviews),Private,Chennai + 9 more,26 years old,10k-50k Employees (India)
ETA Engineering,4,(247 Reviews),Private,"Chennai,Tamil Nadu + 18 more",28 years old,501-1k Employees (India)
Onward eServices,4,(247 Reviews),Public,"Mumbai,Maharashtra + 39 more",19 years old,1k-5k Employees (India)
You Broadband,4,(247 Reviews),Public,"Mumbai,Maharashtra + 23 more",21 years old,1k-5k Employees (India)
RSB Transmission...,3.8,(247 Reviews),Pune + 12 more,48 years old,1k-5k Employees (India),
Greet Technologi...,3,(247 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",31 years old,51-200 Employees (India)
McKinsey & Compa...,4.3,(314 Reviews),Private,"New York,New York + 6 more",96 years old,1k-5k Employees (India)
Broadcom,3.4,(255 Reviews),Private,"San Jose,California + 3 more",46 years old,1k-5k Employees (India)
IFB Industries,3.7,(246 Reviews),Bengaluru/Bangalore + 55 more,10k-50k Employees (India),,
Advantmed,3.6,(246 Reviews),Private,"Santa Ana,California + 4 more",17 years old,501-1k Employees (India)
MEDALL,3.6,(246 Reviews),Private,"Chennai,Tamil Nadu + 38 more",28 years old,1k-5k Employees (India)
Matrix Business ...,3.7,(246 Reviews),Private,"Chennai,Tamil Nadu + 21 more",19 years old,1k-5k Employees (India)
CodeClouds,4.8,(246 Reviews),Private,"Pipitea,Wellington + 4 more",13 years old,201-500 Employees (India)
Competent Synerg...,3.6,(246 Reviews),Private,"Chandigarh,Haryana + 21 more",27 years old,501-1k Employees (India)
Safari Industrie...,4.2,(246 Reviews),Public,"Mumbai,Maharashtra + 47 more",48 years old,201-500 Employees (India)
Akumentis Health...,3.4,(246 Reviews),Private,"Thane,Maharashtra + 34 more",12 years old,1k-5k Employees (India)
Nowfloats Techno...,4,(246 Reviews),Private,"Hyderabad,Telangana + 35 more",10 years old,201-500 Employees (India)
HRH Next Service...,3.3,(246 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 5 more",15 years old,51-200 Employees (India)
Kissht Finance,4.1,(246 Reviews),Private,"Mumbai,Maharashtra + 44 more",7 years old,51-200 Employees (India)
Honda Logistics,4.1,(246 Reviews),Private,"Alwar,Rajasthan + 20 more",17 years old,201-500 Employees (India)
Voyants Solution...,3.8,(245 Reviews),Private,Gurgaon + 40 more,18 years old,501-1k Employees (India)
Consolidated Con...,4.3,(245 Reviews),Public,"Chennai,Tamil Nadu + 25 more",25 years old,501-1k Employees (India)
Madina Group,4.5,(245 Reviews),Private,Doha + 18 more,25 years old,201-500 Employees (India)
Vatika Group,4.2,(245 Reviews),Private,Gurgaon + 11 more,36 years old,1k-5k Employees (Global)
Essel Group,3.9,(3.2k Reviews),Private,Mumbai + 34 more,96 years old,10k-50k Employees (India)
Shriram Housing ...,3.8,(244 Reviews),Public,"Mumbai,Maharashtra + 76 more",12 years old,1k-5k Employees (India)
Majesco,3.6,(244 Reviews),Public,Morristown + 4 more,40 years old,1k-5k Employees (India)
Central Reserve ...,4.5,(244 Reviews),Govt Organisation,"Delhi/NCR,New Delhi + 47 more",83 years old,1 Lakh+ Employees (India)
Danfoss Industri...,4.2,(244 Reviews),Private,"Nordborg,Als + 14 more",29 years old,1k-5k Employees (India)
Hajee A P Bava C...,3.9,(244 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 35 more",72 years old,201-500 Employees (India)
Hilex,4,(244 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",76 years old,201-500 Employees (India)
GD Goenka Public...,3.8,(244 Reviews),Private,"Gurgaon/Gurugram,Haryana + 37 more",28 years old,201-500 Employees (India)
Global Autotech,3.8,(244 Reviews),Private,"Greater Noida,Uttar Pradesh + 8 more",17 years old,201-500 Employees (India)
JBS Enterprises,3.6,(244 Reviews),Private,"Mumbai,Maharashtra + 41 more",35 years old,51-200 Employees (India)
DST Systems,3.8,(244 Reviews),Private,"Windsor,Connecticut + 4 more",53 years old,1k-5k Employees (India)
Continental,4.2,(1.1k Reviews),Private,Hanover + 33 more,151 years old,5k-10k Employees (India)
ABCI Infrastruct...,3.5,(242 Reviews),Private,"Kolkata,West Bengal + 38 more",29 years old,51-200 Employees (India)
Bhagwati Product...,4,(242 Reviews),Public,"Delhi/NCR,New Delhi + 13 more",20 years old,201-500 Employees (India)
Writer Safe Guar...,4,(242 Reviews),Private,"Mumbai,Maharashtra + 53 more",21 years old,5k-10k Employees (Global)
Ben Franklin Opt...,4.1,(242 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 74 more",14 years old,201-500 Employees (India)
1 India Family M...,3.8,(242 Reviews),Private,"Gurgaon,Haryana + 43 more",10 years old,201-500 Employees (India)
Meyer Organics,3.8,(242 Reviews),Private,"Thane,Maharashtra + 40 more",40 years old,1k-5k Employees (India)
Kirloskar Toyota...,4.4,(242 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",27 years old,201-500 Employees (India)
Nash Industries,3.8,(242 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",51 years old,501-1k Employees (India)
JSW Group,3.9,(5k Reviews),Private,Mumbai + 44 more,40 years old,50k-1 Lakh Employees (India)
Avineon India,3.6,(241 Reviews),Private,Mc Lean + 2 more,24 years old,501-1k Employees (India)
Capital Trust,3.8,(241 Reviews),Public,"Delhi/NCR,New Delhi + 62 more",36 years old,201-500 Employees (India)
Escon Elevators,3.5,(241 Reviews),Private,"Navi Mumbai,Maharashtra + 12 more",32 years old,51-200 Employees (India)
FoodPanda,4.1,(241 Reviews),Private,"Berlin,Berlin + 16 more",10 years old,501-1k Employees (India)
Vizag Steel,4.1,(241 Reviews),Public,"Visakhapatnam/Vizag,Andhra Pradesh + 14 more",51 years old,10k-50k Employees (India)
UnitedLex,3.8,(241 Reviews),Private,"New York,New York + 2 more",16 years old,501-1k Employees (India)
Gtpl Broadband,3.7,(241 Reviews),Private,Ahemdabad + 34 more,16 years old,1k-5k Employees (Global)
Shivalik Small F...,3.9,(241 Reviews),Private,"Noida,Uttar Pradesh + 21 more",25 years old,501-1k Employees (India)
BDO India LLP,3.8,(241 Reviews),LLP,New Delhi + 15 more,49 years old,1k-5k Employees (India)
Ensure Support S...,3.9,(241 Reviews),Private,"Chennai,Tamil Nadu + 41 more",9 years old,201-500 Employees (India)
Siti Networks,4.1,(241 Reviews),Public,Noida + 42 more,28 years old,501-1k Employees (India)
Ge T & D India,4.4,(241 Reviews),Public,"Henderson,Nevada + 22 more",65 years old,201-500 Employees (India)
Apollo Health an...,4.2,(240 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 33 more",20 years old,501-1k Employees (India)
Penna Cement Ind...,4.3,(240 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",31 years old,501-1k Employees (India)
Princess Cruises,4.7,(240 Reviews),Private,Santa Clarita + 6 more,57 years old,1k-5k Employees (India)
Vaco Binary Sema...,3.7,(240 Reviews),Private,"Gurgaon/Gurugram,Haryana + 14 more",6 years old,501-1k Employees (India)
Essae Teraoka,3.7,(240 Reviews),JV,"Bangalore/Bengaluru,Karnataka + 51 more",36 years old,201-500 Employees (Global)
Dhani Healthcare,3.6,(240 Reviews),Gurgaon/Gurugram + 54 more,501-1k Employees (India),,
Simplilearn,3.6,(240 Reviews),Private,"San Francisco,California + 1 more",13 years old,1k-5k Employees (India)
Fractal Analytic...,4.1,(240 Reviews),Private,"New York City,New York + 7 more",12 years old,1k-5k Employees (India)
Phillips Carbon ...,3.7,(239 Reviews),Public,"Kolkata,West Bengal + 12 more",62 years old,501-1k Employees (India)
Karvy Financial ...,3.7,(239 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 35 more",41 years old,51-200 Employees (India)
Visaka Industrie...,4.3,(239 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 32 more",41 years old,501-1k Employees (India)
Yokohama,3.9,(239 Reviews),Private,Tokyo + 28 more,105 years old,1k-5k Employees (India)
EID Parry (India...,4.3,(239 Reviews),Public,"Chennai,Tamil Nadu + 26 more",234 years old,1k-5k Employees (India)
Dishnet Wireless,4.3,(239 Reviews),Public,"Delhi/NCR,New Delhi + 48 more",24 years old,1k-5k Employees (India)
SMS Infrastructu...,3.8,(239 Reviews),Private,"Nagpur,Maharashtra + 41 more",59 years old,1k-5k Employees (India)
Bharat Fritz Wer...,4,(239 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",61 years old,501-1k Employees (India)
Vindhya Telelink...,4.1,(238 Reviews),Public,"Delhi/NCR,Delhi + 36 more",39 years old,1k-5k Employees (India)
Capital Foods,4,(238 Reviews),Private,Mumbai + 39 more,26 years old,201-500 Employees (India)
Richfeel Health ...,2.6,(238 Reviews),Private,"Mumbai,Maharashtra + 31 more",36 years old,501-1k Employees (India)
GTL,4.4,(238 Reviews),Public,"Mumbai,Maharashtra + 32 more",35 years old,1k-5k Employees (India)
Transasia Bio-Me...,3.3,(238 Reviews),Private,"Mumbai,Maharashtra + 36 more",43 years old,1k-5k Employees (India)
Railtel Corporat...,3.9,(238 Reviews),Public,"Gurgaon/Gurugram,Haryana + 55 more",22 years old,1k-5k Employees (India)
Rungta Mines,4,(238 Reviews),"Singhbum,Jharkhand + 11 more",60 years old,1k-5k Employees (India),
Chemplast Sanmar,3.9,(238 Reviews),Private,"Chennai,Tamil Nadu + 12 more",55 years old,501-1k Employees (India)
Brembo Brake Ind...,4.2,(238 Reviews),Private,Stezzano + 8 more,17 years old,201-500 Employees (India)
Amazon Logistics,4.3,(238 Reviews),Hyderabad/Secunderabad + 57 more,1 Lakh+ Employees (India),,
Xyz Company,3.5,(238 Reviews),Mumbai + 50 more,50k-1 Lakh Employees (India),,
Eicher Motors,4.4,(238 Reviews),Public,Gurgaon + 48 more,40 years old,10k-50k Employees (India)
Black Knight,3.3,(238 Reviews),Private,"Jacksonville,Florida + 2 more",8 years old,501-1k Employees (India)
Jindal Poly Film...,3.7,(237 Reviews),Public,"Delhi/NCR,Delhi + 6 more",48 years old,1k-5k Employees (India)
Jindal Poly Film...,3.7,(237 Reviews),Public,"Delhi/NCR,Delhi + 6 more",48 years old,1k-5k Employees (India)
Mikuni,4,(237 Reviews),Private,"Sotokanda,Chiyoda + 10 more",99 years old,201-500 Employees (India)
Radico Khaitan,3.9,(237 Reviews),Public,"Delhi/NCR,Delhi + 42 more",79 years old,201-500 Employees (India)
Transguard Group...,4.2,(237 Reviews),Private,"Dubai,Dubai + 19 more",21 years old,201-500 Employees (India)
ABM Knowledgewar...,3.6,(237 Reviews),Public,Mumbai + 30 more,29 years old,501-1k Employees (India)
Essar Group,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 34 more",53 years old,10k-50k Employees (India)
JM Financial,4.2,(236 Reviews),Public,"Mumbai,Maharashtra + 40 more",38 years old,1k-5k Employees (India)
Webskitters,4.8,(236 Reviews),Private,"Kolkata,West Bengal + 1 more",12 years old,201-500 Employees (India)
V.S.T Tillers Tr...,3.7,(236 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 31 more",55 years old,201-500 Employees (India)
P.D. Hinduja Nat...,4.1,(236 Reviews),NGO/NPO,"Mumbai,Maharashtra + 10 more",71 years old,1k-5k Employees (India)
Aurangabad Elect...,4,(236 Reviews),Private,"Aurangabad,Maharashtra + 5 more",37 years old,501-1k Employees (India)
Wellness Forever...,4.2,(236 Reviews),Private,"Mumbai,Maharashtra + 19 more",14 years old,1k-5k Employees (India)
Wartsila,4.5,(236 Reviews),Private,Helsinki + 30 more,188 years old,501-1k Employees (India)
Carrier,3.9,(236 Reviews),Private,"Charlotte,North Carolina + 33 more",107 years old,501-1k Employees (India)
Morepen Laborato...,3.7,(236 Reviews),Public,"Baddi,Himachal Pradesh + 22 more",38 years old,1k-5k Employees (India)
People Group,3.9,(322 Reviews),Private,"Mumbai,Maharashtra + 25 more",26 years old,501-1k Employees (India)
Progressive Info...,4.3,(235 Reviews),Private,"Delhi/NCR,Delhi + 45 more",21 years old,1k-5k Employees (India)
MeritNation,3.6,(235 Reviews),Private,"Delhi,NCT + 21 more",34 years old,51-200 Employees (India)
Indraprastha Gas,4.1,(235 Reviews),Public,"Mumbai,Maharashtra + 12 more",24 years old,1k-5k Employees (India)
Sanmina Sci,3.9,(235 Reviews),Private,"Sanjose,California + 7 more",42 years old,1k-5k Employees (India)
Darcl Logistics,4.1,(235 Reviews),Private,"Hisar,Haryana + 37 more",47 years old,1k-5k Employees (India)
Zycus Infotech,3.6,(235 Reviews),Private,"Princeton,New Jersey + 4 more",25 years old,1k-5k Employees (India)
Aurigo,4.9,(234 Reviews),Private,"Austin,Texas + 2 more",19 years old,201-500 Employees (India)
Trianz,4,(234 Reviews),Private,"Santa Clara,California + 2 more",16 years old,1k-5k Employees (India)
Zara,3.9,(234 Reviews),Private,Â Arteixo + 20 more,48 years old,1k-5k Employees (India)
S2 Infotech,3.3,(234 Reviews),Public,"Mumbai,Maharashtra + 45 more",17 years old,201-500 Employees (India)
Indian Space Res...,4.2,(234 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 18 more",53 years old,10k-50k Employees (India)
Nlb Services,3.8,(234 Reviews),Private,"Alpharetta,Georgia + 14 more",15 years old,501-1k Employees (India)
IGT,3.6,(234 Reviews),Private,"Gurgaon/Gurugram,Haryana + 6 more",24 years old,501-1k Employees (India)
Time Technoplast,3.3,(233 Reviews),Public,"Mumbai,Maharashtra + 28 more",30 years old,1k-5k Employees (India)
Manipal Technolo...,3.8,(233 Reviews),Private,"Manipal,Karnataka + 37 more",81 years old,1k-5k Employees (India)
Practo,3.4,(233 Reviews),Private,"Bangalore,Karnataka + 17 more",14 years old,1k-5k Employees (India)
SRM University,4,(233 Reviews),Private,Chennai + 20 more,37 years old,1k-5k Employees (India)
Psp Projects,4.1,(233 Reviews),Private,"Ahmedabad,Gujarat + 14 more",14 years old,501-1k Employees (India)
Sakthi Auto Comp...,3.5,(233 Reviews),"Coimbatore,Tamil Nadu + 7 more",39 years old,501-1k Employees (India),
ICON Clinical Re...,4.1,(233 Reviews),Public,Dublin + 4 more,32 years old,1k-5k Employees (India)
Quislex Legal Se...,3.2,(233 Reviews),Private,"New York,New York + 3 more",18 years old,501-1k Employees (India)
Nivea,4.2,(233 Reviews),Private,Hamburg + 34 more,140 years old,201-500 Employees (India)
Ryan,4.5,(233 Reviews),Private,"Dallas,Texas + 3 more",31 years old,501-1k Employees (India)
Mott MacDonald,4.3,(233 Reviews),"Croydon,Surrey + 22 more",120 years old,1k-5k Employees (India),
Siemens Energy,4.2,(4.4k Reviews),Private,Munich + 17 more,175 years old,1k-5k Employees (India)
Paharpur Cooling...,4,(297 Reviews),Private,"Kolkata,West Bengal + 29 more",74 years old,501-1k Employees (India)
Vectus Industrie...,4.2,(232 Reviews),Private,"Noida,Uttar Pradesh + 38 more",18 years old,1k-5k Employees (India)
Fortis Escorts ...,4.1,(232 Reviews),Public,"Delhi/NCR,Delhi + 14 more",34 years old,5k-10k Employees (India)
Appsierra,4.9,(231 Reviews),Private,"Noida,Uttar Pradesh + 6 more",7 years old,51-200 Employees (India)
Toshiba JSW Powe...,4.3,(231 Reviews),Private,"Chiyoda-ku,Tokyo-to + 7 more",9 years old,501-1k Employees (India)
Birla Tyres,3.4,(231 Reviews),Private,"Kolkata,West Bengal + 58 more",31 years old,1k-5k Employees (India)
Victora Tool Eng...,3.9,(231 Reviews),Private,"Faridabad,Haryana + 7 more",50 years old,201-500 Employees (India)
GSH Group,4.2,(231 Reviews),Private,"Parsippany,New Jersey + 28 more",127 years old,501-1k Employees (India)
Bhilosa Industri...,3.7,(231 Reviews),Private,"Mumbai,Maharashtra + 3 more",34 years old,1k-5k Employees (India)
Montecarlo Const...,4.3,(231 Reviews),"Ahmedabad,Gujarat + 48 more",27 years old,1k-5k Employees (India),
C-Edge Technolog...,4,(230 Reviews),Private,Thane + 14 more,16 years old,501-1k Employees (India)
Indian Immunolog...,4.2,(230 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 18 more",40 years old,1k-5k Employees (India)
Amartex Industri...,4.6,(230 Reviews),Public,Panchkula + 16 more,34 years old,501-1k Employees (India)
Surin Automotive,3.5,(230 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",48 years old,201-500 Employees (India)
Apple,4.3,(234 Reviews),Private,"Cupertino,California + 56 more",46 years old,10k-50k Employees (India)
MN Dastur & Comp...,3.5,(229 Reviews),Private,"Kolkata,West Bengal + 12 more",67 years old,1k-5k Employees (India)
Kelly Services,4,(229 Reviews),Private,"Troy,Michigan + 23 more",76 years old,51-200 Employees (India)
Balmer Lawrie,3.9,(229 Reviews),Private,"Kolkata,West Bengal + 29 more",155 years old,1k-5k Employees (India)
Vaaman Engineers,4.1,(229 Reviews),Private,Mumbai + 22 more,32 years old,1k-5k Employees (India)
Suraksha Diagnos...,3.5,(229 Reviews),Private,Kolkata + 16 more,30 years old,1k-5k Employees (India)
Vaaman Engineers,4.1,(229 Reviews),Private,Mumbai + 22 more,32 years old,1k-5k Employees (India)
smartData Enterp...,3.7,(228 Reviews),Private,White Plains + 6 more,23 years old,501-1k Employees (India)
Aarti Drugs,3.9,(228 Reviews),Public,Mumbai + 9 more,38 years old,201-500 Employees (India)
Teva API,3.9,(228 Reviews),Private,Tel Aviv + 13 more,87 years old,1k-5k Employees (India)
Alankit,3,(228 Reviews),Public,"Delhi/NCR,New Delhi + 29 more",31 years old,1k-5k Employees (India)
Ppap Automotive,4,(228 Reviews),Public,"Noida,Uttar Pradesh + 9 more",44 years old,1k-5k Employees (India)
Varuna Integrate...,4,(228 Reviews),Private,"Gurgaon/Gurugram,Haryana + 40 more",26 years old,1k-5k Employees (India)
Jawahar Navodaya...,4.4,(228 Reviews),Private,"Noida,Uttar Pradesh + 83 more",37 years old,10k-50k Employees (India)
Narayana e-Techn...,3.9,(228 Reviews),Private,Hyderabad + 35 more,10 years old,501-1k Employees (India)
DFM Foods,4.2,(228 Reviews),Public,"Delhi/NCR,New Delhi + 44 more",39 years old,501-1k Employees (India)
VKC Group,3.6,(227 Reviews),Private,"Calicut/Kozhikode,Kerala + 27 more",38 years old,1k-5k Employees (India)
Jyoti CNC Automa...,4.2,(227 Reviews),Public,"Rajkot,Gujarat + 21 more",33 years old,501-1k Employees (India)
National Contrac...,4.2,(227 Reviews),Private,Al-Khobar + 17 more,55 years old,501-1k Employees (India)
P&O Cruises,4.5,(227 Reviews),Private,Southampton + 6 more,185 years old,11-50 Employees (India)
Kerala State Ele...,4.3,(227 Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 21 more",65 years old,10k-50k Employees (India)
DesignTech Syste...,3.3,(227 Reviews),Private,Pune + 26 more,24 years old,501-1k Employees (India)
Satya MicroCapit...,4,(227 Reviews),"Delhi,NCT + 70 more",6 years old,1k-5k Employees (India),
Amber Enterprise...,4.2,(227 Reviews),Public,"Mumbai,Maharashtra + 15 more",28 years old,501-1k Employees (India)
IMSI,3.2,(227 Reviews),Private,"Dehradun,Uttarakhand + 36 more",36 years old,1k-5k Employees (India)
Dharampal Premch...,4,(227 Reviews),Private,"Delhi/NCR,New Delhi + 38 more",93 years old,201-500 Employees (India)
Mecon,4,(227 Reviews),Private,"Ranchi,Jharkhand + 28 more",63 years old,1k-5k Employees (India)
Herbalife Intern...,4.3,(227 Reviews),Private,Los Angeles + 54 more,42 years old,1k-5k Employees (India)
GS Engineering &...,4.1,(227 Reviews),Seoul + 16 more,53 years old,201-500 Employees (India),
All India Radio,4.1,(226 Reviews),Private,"Delhi/NCR,New Delhi + 66 more",92 years old,1k-5k Employees (India)
Spinny,4.3,(226 Reviews),Private,"Gurgaon,Haryana + 19 more",7 years old,1k-5k Employees (India)
Caparo Maruti,3.9,(696 Reviews),JV,"Gurgaon/Gurugram,Haryana + 10 more",28 years old,501-1k Employees (India)
Aimil Pharmaceut...,3.6,(225 Reviews),Private,"Delhi/NCR,New Delhi + 30 more",90 years old,501-1k Employees (India)
Air India Air Tr...,3.7,(225 Reviews),"Delhi/NCR,New Delhi + 38 more",19 years old,10k-50k Employees (Global),
Osource India,3.3,(225 Reviews),Private,"Noida,Uttar Pradesh + 18 more",18 years old,201-500 Employees (India)
ITI,3.8,(225 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 50 more",74 years old,501-1k Employees (India)
Cera Sanitarywar...,4.1,(225 Reviews),Public,"London,England + 42 more",42 years old,501-1k Employees (India)
Tata Capital,4.3,(1.3k Reviews),"Mumbai,Maharashtra + 54 more",15 years old,5k-10k Employees (India),
RealPage,4,(225 Reviews),Private,"Richardson,Texas + 4 more",24 years old,1k-5k Employees (India)
Metalman Auto,4,(224 Reviews),Private,"Gurgaon/Gurugram,Haryana + 16 more",36 years old,1k-5k Employees (India)
