name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Mindtree,4.1,(3.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 23 more",23 years old,10k-50k Employees (India)
JP Morgan Chase,4.2,(3.1k Reviews),Private,"New York,New York + 20 more",22 years old,10k-50k Employees (India)
Future Group,4.2,(9.9k Reviews),Private,"Mumbai,Maharashtra + 192 more",9 years old,50k-1 Lakh Employees (India)
Nokia,4.4,(3.1k Reviews),Private,"Espoo,Southern Finland + 166 more",157 years old,10k-50k Employees (India)
Fidelity Nationa...,4.1,(3.1k Reviews),Private,"Jacksonville,Florida + 30 more",17 years old,10k-50k Employees (India)
Siemens,4.2,(3k Reviews),Public,"Munich,Bavaria + 101 more",30 years old,10k-50k Employees (India)
Wells Fargo Indi...,4.2,(2.9k Reviews),Private,"San Francisco,California + 11 more",24 years old,10k-50k Employees (India)
eClerx,3.7,(2.9k Reviews),Public,"Mumbai,Maharashtra + 15 more",22 years old,5k-10k Employees (India)
Bandhan Bank,4,(3.1k Reviews),Public,"Kolkata,West Bengal + 489 more",21 years old,10k-50k Employees (India)
Wipro BPS,3.8,(2.9k Reviews),Bengaluru + 36 more,22 years old,1 Lakh+ Employees (India),
Max Life Insurance,4.2,(2.8k Reviews),"Gurgaon/Gurugram,Haryana + 263 more",22 years old,10k-50k Employees (India),
Oyo Rooms,3.6,(3k Reviews),Private,"Gurgaon,Haryana + 101 more",9 years old,1k-5k Employees (India)
TVS Motor,4.1,(3k Reviews),Public,"Chennai,Tamil Nadu + 225 more",43 years old,5k-10k Employees (India)
AU Small Finance,4.1,(3.7k Reviews),Private,"Jaipur,Rajasthan + 273 more",26 years old,10k-50k Employees (India)
Cyient,3.7,(2.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",31 years old,10k-50k Employees (India)
Delhivery,4.2,(2.8k Reviews),Private,"Delhi,NCT + 420 more",11 years old,10k-50k Employees (India)
JLL,4.3,(2.8k Reviews),Private,"Mumbai,Maharashtra + 58 more",25 years old,10k-50k Employees (India)
Tata Projects,4.2,(2.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",43 years old,5k-10k Employees (India)
Hero MotoCorp,4.3,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 257 more",38 years old,5k-10k Employees (India)
Oracle,3.9,(3.5k Reviews),Public,"Austin,Texas + 29 more",45 years old,10k-50k Employees (India)
First Source,4,(2.7k Reviews),Public,"Mumbai,Maharashtra + 45 more",21 years old,5k-10k Employees (India)
JSW Steel,3.9,(4.1k Reviews),Public,"Mumbai,Maharashtra + 86 more",40 years old,10k-50k Employees (India)
Hyundai Motor,4.1,(3.6k Reviews),Private,Seoul + 218 more,55 years old,5k-10k Employees (India)
Atos Syntel,3.7,(4.3k Reviews),Private,"Troy,Michigan + 14 more",42 years old,10k-50k Employees (India)
Bosch,4.3,(3.5k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 83 more",136 years old,10k-50k Employees (India)
TATA Steel,4.1,(4.1k Reviews),Public,"Mumbai,Maharashtra + 117 more",115 years old,10k-50k Employees (India)
JustDial,3.6,(2.6k Reviews),Public,"Mumbai,Maharashtra + 122 more",26 years old,10k-50k Employees (India)
Hexaware Technologies,3.8,(2.7k Reviews),Public,"Mumbai,Maharashtra + 29 more",32 years old,10k-50k Employees (India)
iEnergizer,3.5,(2.4k Reviews),Private,"Noida,Uttar Pradesh + 14 more",22 years old,5k-10k Employees (India)
Dell,4.2,(3.4k Reviews),Private,"Round Rock,Texas + 84 more",38 years old,50k-1 Lakh Employees (India)
Megha Engineering,4.2,(2.4k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 181 more",33 years old,1k-5k Employees (India)
Godrej & Boyce Motors,3.9,(2.5k Reviews),Private,"Mumbai,Maharashtra + 120 more",125 years old,10k-50k Employees (India)
Viatris,4.3,(2.4k Reviews),"Canonsburg,Pennsylvania + 60 more",61 years old,1k-5k Employees (India),
Quess,3.9,(7.3k Reviews),Public,Bangalore + 285 more,15 years old,10k-50k Employees (India)
BNY Mellon,4.2,(2.4k Reviews),Private,"New York City,New York + 10 more",18 years old,10k-50k Employees (India)
Omega Healthcare,3.8,(2.3k Reviews),Private,Florida + 25 more,18 years old,1k-5k Employees (India)
Fullerton India,4.2,(2.3k Reviews),Private,Mumbai + 377 more,15 years old,10k-50k Employees (India)
SBI Cards & Payments,3.8,(2.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 223 more",24 years old,5k-10k Employees (India)
UnitedHealth,4.2,(4.1k Reviews),Private,"Minnetonka,Minnesota + 11 more",45 years old,10k-50k Employees (India)
Aditya Birla ,4.3,(2.7k Reviews),Private,Mumbai + 187 more,7 years old,10k-50k Employees (India)
Axis Direct,4,(2.3k Reviews),Private,"San Mateo,California + 264 more",11 years old,1k-5k Employees (India)
Cgi Group,4.2,(2.4k Reviews),Private,"Montreal,Quebec + 14 more",31 years old,10k-50k Employees (India)
Manappuram Financials,4,(2.9k Reviews),Public,"Thrissur/Trichur,Kerala + 350 more",73 years old,10k-50k Employees (India)
Dominos Pizza,4.1,(2.3k Reviews),Public,"Ypsilanti,Michigan + 197 more",62 years old,1k-5k Employees (India)
Wipro Consumer ,3.8,(2.9k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 69 more",77 years old,1k-5k Employees (India)
L&T Construction,4.1,(2.7k Reviews),Public,Chennai + 241 more,78 years old,10k-50k Employees (India)
IQVIA,4.2,(2.2k Reviews),Partnership,"Durham,North Carolina + 39 more",40 years old,10k-50k Employees (India)
